"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT02","WT03","WT07","WT08"
"USW00003145","YUMA MCAS, AZ US","2015-01-01","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-02","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-03","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-04","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-05","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-06","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-07","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-08","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-09","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-10","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-11","0.12",,"0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-12","0.00","0.0","0.0",,,,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-13","0.00","0.0","0.0","72","49","    1",,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-14","0.00","0.0","0.0","71","49",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-15","0.00","0.0","0.0","74","51",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-16","0.00","0.0","0.0","77","52",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-17","0.00","0.0","0.0","77","50",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-18","0.00","0.0","0.0","78","51",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-19","0.00","0.0","0.0","81","49",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-20","0.00","0.0","0.0","77","52",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-01-21","0.00","0.0","0.0","77","51",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-22","0.00","0.0","0.0","71","51",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-23","0.00","0.0","0.0","70","48",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-24","0.00","0.0","0.0","77","47",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-25","0.00","0.0","0.0","76","52",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-26","0.05","0.0","0.0","64","56",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-27","0.00","0.0","0.0","71","57",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-28","0.00","0.0","0.0","74","51",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-29","0.00","0.0","0.0","74","59",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-30","0.02","0.0","0.0","69","58",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-01-31","0.00","0.0","0.0","70","53","    1",,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-01","0.00","0.0","0.0","76","53",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-02","0.00","0.0","0.0","80","50",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-03","0.00","0.0","0.0","82","53",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-04","0.00","0.0","0.0","84","53",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-05","0.00","0.0","0.0","85","53",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-06","0.00","0.0","0.0","85","55",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-02-07","0.00","0.0","0.0","85","53",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-08","0.00","0.0","0.0","87","57",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-09","0.00","0.0","0.0","90","59",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-10","0.00","0.0","0.0","85","59",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-11","0.00","0.0","0.0","84","57",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-12","0.00","0.0","0.0","84","59",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-02-13","0.00","0.0","0.0","84","58",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-02-14","0.00","0.0","0.0","88","56",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-15","0.00","0.0","0.0","82","63",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-02-16","0.00","0.0","0.0","82","56",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-17","0.00","0.0","0.0","82","57",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-18","0.00","0.0","0.0","84","53",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-19","0.00","0.0","0.0","85","56",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-20","0.00","0.0","0.0","81","59",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-21","0.00","0.0","0.0","81","54",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-22","0.00","0.0","0.0","73","58",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-23","0.00","0.0","0.0","73","58",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-24","0.00","0.0","0.0","72","51",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-25","0.00","0.0","0.0","78","46",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-02-26","0.00","0.0","0.0","82","51",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-02-27","0.00","0.0","0.0","78","52",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-02-28","0.00","0.0","0.0","76","53",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-01","0.13","0.0","0.0","64","53","    1",,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-02","0.18","0.0","0.0","66","52","    1",,"    1",,
"USW00003145","YUMA MCAS, AZ US","2015-03-03","0.00","0.0","0.0","67","50",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-04","0.00","0.0","0.0","70","51",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-05","0.00","0.0","0.0","78","50",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-06","0.00","0.0","0.0","85","57",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-07","0.00","0.0","0.0","86","57",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-08","0.00","0.0","0.0","85","53",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-09","0.00","0.0","0.0","86","56",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-03-10","0.00","0.0","0.0","89","54",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-11","0.00","0.0","0.0","88","57",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-12","0.00","0.0","0.0","90","70",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-13","0.00","0.0","0.0","90","69",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-14","0.00","0.0","0.0","93","65",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-15","0.00","0.0","0.0","92","65",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-16","0.00","0.0","0.0","92","66",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-17","0.00","0.0","0.0","92","64",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-03-18","0.00","0.0","0.0","87","68",,,"    1",,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-03-19","0.01","0.0","0.0","76","65",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-20","0.00","0.0","0.0","84","61",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-03-21","0.00","0.0","0.0","91","59",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-22","0.00","0.0","0.0","89","60",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-03-23","0.00","0.0","0.0","88","64",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-24","0.00","0.0","0.0","87","59",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-03-25","0.00","0.0","0.0","92","60",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-26","0.00","0.0","0.0","95","64",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-27","0.00","0.0","0.0","96","64",,,,,"    1"
"USW00003145","YUMA MCAS, AZ US","2015-03-28","0.00","0.0","0.0","98","62",,,,,
"USW00003145","YUMA MCAS, AZ US","2015-03-29","0.00","0.0","0.0","98","67",,,,,
